,store,address
100,경대병원역점,"대구광역시 중구 달구벌대로 지하 2190, 지하1층(삼덕동2가, 경대병원역) "
101,인덕원디지털엠파이어점,"경기도 안양시 동안구 시민대로 387, A동 1층 110호(관양동, 디지털엠파이어) "
102,안양무역센터점,"경기도 안양시 동안구 시민대로 161, 1층 107호(비산동, 안양무역센터) "
103,안양관평사거리점,"경기도 안양시 동안구 시민대로 266, 1층 108호(관양동, 평촌샤르망오피스텔) "
104,동안양세무서점,"경기도 안양시 동안구 시민대로 277, 1층 101호(관양동, 세방글로벌시티) "
105,평촌스마트점,"경기도 안양시 동안구 시민대로 311, 1층 102호(관양동, 금강스마트빌딩) "
106,안양아이에스비즈타워점,"경기도 안양시 만안구 덕천로152번길 25, 1층 130호(안양동, 안양아이에스BIZ타워센트럴) "
107,성남고등반도점,"경기 성남시 수정구 고등동 603, 반도아이비밸리 1층 105호 "
108,상대원점,"경기도 성남시 중원구 사기막골로 124, 테크동 지하2층 207호(상대원동, SKn테크노파크) "
109,대구수성점,"대구광역시 수성구 들안로 325, 101동 1층 근린생활시설 6호(수성동 2가, 롬바드 아파트) "
110,동대구점,"대구광역시 동구 동부로26길 16, 1층 114호(신천동, 동대구역 부띠끄시티 드라마오피스텔) "
111,성남이마트점,"경기 성남시 수정구 수정로 205, 산운빌딩 1층 "
112,대구범어1호점,"대구광역시 수성구 동대구로 397, 1층 103호(범어동, 웰스빌딩) "
113,과천디테크A타워점,"경기 과천시 과천대로7길 33, A동 102호(갈현동, 디 테크 타워 과천) "
114,성남의료원점,"경기 성남시 수정구 시민로205번길 34, 1층 "
115,원주단계천점,강원도 원주시 돌터1길 10-5 (우산동) 
116,가천대역점,"경기도 성남시 수정구 성남대로 1330, 102호(태평동, 일성 오퍼스원) "
117,과천위버필드점,"경기 과천시 별양상가2로 35, 과천위버필드상가 3동 1층 115호 "
118,시흥능곡역점,"경기도 시흥시 능곡번영길 24,1층 105호(능곡동) "
119,시흥호반써밋더프라임점,"경기도 시흥시 거북섬남로 77, 121동 B108호(정왕동, 호반써밋더프라임) "
120,과천힐스테이트중앙점,"경기도 과천시 관문로 92, B동 B103호(중앙동, 힐스테이트 과천중앙) "
121,성남을지대점,"경기도 성남시 수성구 산성대로567번길 10, 1층(양지동) "
122,내곡동한국콜마점,서울 서초구 헌릉로8길 60 상가동 106호 
123,위례역점,"경기도 성남시 수정구 위례광장로 21-13, 1층 105호(창곡동, 힘찬프라자) "
124,시흥장곡점,"경기도 시흥시 진말1로 18, 1층 112호(장곡동) "
125,위례중앙점,"경기도 성남시 수정구 위례광장로 320, 109호(창곡동, 아이에스센트럴타워) "
126,광명역자이타워점,"경기도 광명시 새빛공원로 67, B동 101호(일직동, 광명역자이타워) "
127,광명역코스트코앞점,"경기도 광명시 일직로 43, 지1층 L062호(일직동, GIDC) "
128,광명GIDC A동점,"경기도 광명시 일직로 43, 1층 1084호(일직동, GIDC) "
129,자곡동점,"서울특별시 강남구 자곡로 180, 1층 103-1호(자곡동, 강남유탑유블레스) "
130,서초호반점,"서울 서초구 양재대로2길 8, 서초리슈빌s글로벌 1층 108호 "
131,가든파이브점,"서울특별시 송파구 충민로 52, BF1074호(문정동, 가든파이브웍스) "
132,양재시민의숲점,"서울특별시 서초구 매헌로1길 30, 1층(양재동) "
133,북위례점,"경기도 하남시 위례대로6길 15, 상가동 지1층 123호 (학암동, 힐스테이트 센트럴 위례) "
134,매헌역점,"서울특별시 서초구 강남대로10길 41, 1층(양재동) "
135,우면동점,"서울 서초구 성촌1길 12, 삼성프라자2 1층 103호 "
136,문정테라타워점,"서울특별시 송파구 송파대로 167, A동 G155호(문정동, 문정역테라타워) "
137,문정점,"서울특별시 송파구 법원로11길 11, A동 1층 103호(문정동, 문정현대지식산업센터1-1) "
138,문정역점,"서울특별시 송파구 법원로 114, E동 지1층 E-B169호(문정동, 엠스테이트) "
139,송파에코점,"서울특별시 송파구 정의로7길 13, 1층 135호(문정동, 힐스테이트에코송파) "
140,문정skv1지하점,"서울특별시 송파구 법원로 128, B동 지하 120호 (문정동, 문정 SKV1 GL메트로시티) "
141,문정skv1점,"서울특별시 송파구 법원로 128, B동 1층 103호(문정동, 문정 SKV1 GL메트로시티) "
142,거여동점,"서울특별시 송파구 오금로 558, 1층 102호(거여동, 문성회관) "
