,store,address
579,불광혁신파크점,"서울특별시 은평구 통일로 699, 1층 1호(녹번동) "
580,청라에이스점,"인천광역시 서구 파랑로 495, 청라에이스하이테크시티 1동 108호(청라동) "
581,불광역점,"서울특별시 은평구 통일로 735-1, 1층(대조동) "
582,삼육대후문점,"경기 남양주시 불암로 41-70, 1층 "
583,영종하늘별빛점,"인천광역시 중구 하늘중앙로 193, 1층 118호(중산동, 조양타워) "
584,별내파라곤스퀘어점,"경기도 남양주시 순화궁로 249, C113호(별내동, 별내역 파라곤스퀘어제판매시설1동) "
585,충무공점,"경상남도 진주시 에나로77번길 10, 103호(충무공동) "
586,청라지웰점,"인천 서구 중봉대로612번길 10, 지웰에스테이트 1층 105호 "
587,화순전남대학병원점,"전라남도 화순군 화순읍 일심동길 3, 1층 "
588,연신내역점,"서울 은평구 통일로80길 1, 1층 "
589,도봉한일병원점,"서울특별시 도봉구 도봉로 109길 58, 1층 일부(쌍문동) "
590,창동점,"서울특별시 도봉구 마들로11가길 6-25, 105호(창동, 창동월가타워) "
591,창동이마트점,"서울특별시 도봉구 노해로65길 4, 1층(창동, 창동 EMART) "
592,노원롯데점,"서울특별시 노원구 노해로 485, 1층 104호(상계동, 금정빌딩) "
593,상계역점,"서울특별시 노원구 한글비석로 384, 1층 125-1호(중계동, 대호프라자) "
594,도봉구청점,"서울특별시 도봉구 마들로 650,111-1호(방학동, 도봉월드상가) "
595,원흥한일윈스타점,"경기도 고양시 덕양구 삼원로 73, 104호(원흥동) "
596,수락산역점,"서울특별시 노원구 동일로 1672, 1층 103호(상계동) "
597,인천검단아라점,"인천광역시 서구 바리미로 17, 1동 102호(원당동) "
598,인천검단신도시점,"인천광역시 서구 이음5로 24, 제1총 제101호(원당동, 쓰리엠타워) "
599,삼송mbn미디어시티점,"경기도 고양시 덕양구 동송로 30, 1층 111호(동산동, 삼송 더샵 미디어시티 근린생활시설) "
600,김포풍무점,"경기 김포시 풍무로 102, 1층 일부 "
601,신원당점,"경기도 고양시 덕양구 고양대로1384번길 20, 109호(성사동, 어울림마을9단지) "
602,일산백석점,"경기도 고양시 일산동구 호수로 358-25, 106호(백석동, 동문타워II) "
603,마두역점,"경기도 고양시 일산동구 중앙로 1189, 103호(장항동, GM 굿모닝 법조타운) "
604,의정부듀클래스점,"경기 의정부시 문화로 6, 한강의정부고산듀클래스 A동 A124호 "
605,일산문화공원점,"경기도 고양시 일산동구 중앙로1275번길 38-10, 1층 116호(장항동, 우림로데오스위트) "
606,국립암센터점,"경기 고양시 일산동구 일산로330번길 6-9, 1층 우측 일부호 "
607,김포금빛초점,"경기 김포시 태장로 825, 자이애비뉴2 1층 110호 "
608,김포이젠메카존점,"경기도 김포시 양촌읍 황금로 117, 다동 1층 119호 "
609,원마운트점,"경기도 고양시 일산서구 한류월드로 300, 1층 1117호(대화동, 고양 원마운트) "
610,킨텍스꿈에그린점,"경기도 고양시 일산서구 킨텍스로 240, 판매시설동 1층 131호(대화동, 킨텍스 꿈에그린) "
611,일산레이킨스몰점,"경기도 고양시 일산서구 호수로 817, 38호(대화동, 레이킨스몰) "
612,나주빛가람점,"전라남도 나주시 상야1길 7, 1층 106호(빛가람동) "
613,어룡역점,"경기도 의정부시 용현로105번길 23-1, 1층 104호(민락동, 대우프라자) "
614,일산주엽점,"경기도 고양시 일산서구 중앙로 1456, 107호(주엽동) "
615,의정부로데오점,"경기도 의정부시 행복로 21, 1층(의정부동) "
616,김포운양점,"경기도 김포시 김포한강1로 227, 광장프라자 1층 116호(운양동) "
617,경기도청북부청사역점,"경기도 의정부시 장곡로 626, B동 1층 109호(신곡동, 금오종합상가) "
618,김포나비초점,"경기도 김포시 김포한강9로 30, 105호(구래동) "
619,김포구래점,"경기 김포시 김포한강9로 95, 1층 111호 "
620,녹양점,"경기도 의정부시 비우로 86, 1층(녹양동) "
621,파주야당동점,"경기도 파주시 송학1길 123, 1층 102호(야당동, 프리덴) "
622,파주운정호수점,"경기도 파주시 가온로 182, 1층 일부(와동동) "
623,파주운정목동점,"경기도 파주시 심학산로 423번길 7-37, 1층 102호(목동동, 애플프라자) "
624,파주운정역점,"경기도 파주시 경의로1240번길 15, 1층 114호(와동동) "
625,경남테크노파크점,"경상남도 창원시 의창구 창원대로 18번길 46, 1층(팔용동, 경남창원과학기술진흥원) "
626,창원유니시티점,"경상남도 창원시 의창구 중동중앙로 83, 1층 108호(중동, D7PARK) "
627,양주옥정점,"경기도 양주시 옥정동로7다길 62, 114호(옥정동, 대길프라자) "
628,포천소흘점,"경기도 포천시 소흘읍 솔모루로 72, A동 1층 101호 "
629,상남점,"경상남도 창원시 성산구 중앙대로 104, 1층 114호(상남동, 마이우스빌딩) "
630,경주동국대병원점,"경상북도 경주시 석현로 21, 1층 102호(석장동) "
631,춘천모다아울렛점,"강원도 춘천시 방송길 77, 1층 1120, 1130호(온의동, 춘천 센트럴타워 푸르지오) "
632,상남한마음점,"경상남도 창원시 성산구 마디미로21번길 17, 104호(상남동) "
633,지행역점,"경기 동두천시 동두천로 129, 내행프라자 1층 111호 "
634,김해장유코아점,"경상남도 김해시 능동로167번길 1, 1층 110호(부곡동, 넥스코아) "
635,김해복음병원점,"경상남도 김해시 활천로 35, 1층(삼정동) "
636,양산물금점,"경상남도 양산시 물금읍 물금로 57, 상가2동 115호(양산 이지더원 5차 아파트) "
637,양산역점,"경상남도 양산시 양산역6길 3, 1층 105호(중부동, 센트럴스위트) "
638,양산북부점,"경남 양산시 중앙우회로 138, 1층 "
639,양산증산점,"경상남도 양산시 물금읍 서들로 148, 104호 "
640,통영죽림점,"경상남도 통영시 광도면 죽림3로 43, 108호(강남빌딩) "
641,울산대학로점,"울산 남구 대학로33번길 16, 1층 "
642,부산강서구청점,"부산 강서구 대저로 265, 1층 "
643,목포하당점,"전라남도 목포시 비파로 96, 1층 113호(상동) "
644,양산덕계점,"경상남도 양산시 덕계로 20, 1층(덕계동) "
645,목포신세계병원점,"전라남도 목포시 백년대로 258, 1층(상동) "
646,목포삼학점,"전라남도 목포시 용당로 69, 1층(산정동) "
647,울산삼산점,"울산시 남구 남중로 122, 1층(삼산동) "
648,부산연산중앙점,"부산 연제구 거제천로154번길 58, 예서두레라움드림아파트 1층 102호 "
649,부산연산점,"부산광역시 연제구 과정로 345, 1층(연산동) "
650,서면일번가점,"부산광역시 부산진구 신천대로62번길 34, 1층 일부(부전동, 동흥빌딩) "
651,부산BIFC점,부산광역시 남구 문현금융로 40 109호 
652,부산범일점,"부산광역시 동구 자성로133번길 31, 105호(범일동, 신일빌딩) "
653,부산초량점,"부산광역시 동구 중앙대로 236번길 3-6, 1층(초량동) "
654,부산중앙마린점,"부산 중구 충장대로9번길 49, 엘빌딩, 1층 101호 "
655,부산중앙역점,"부산광역시 중구 충장대로4번길 6, 1층(중앙동4가) "
656,부산남포점,"부산광역시 중구 구덕로 50, 1층 정면우측(남포동5가) "
657,부산센텀점,"부산광역시 해운대구 센텀중앙로 97, A동 씨-104호 일부(재송동) "
658,부산경성대점,"부산광역시 남구 수영로 295, 1층 102호(대연동) "
659,철원동송점,"강원도 철원군 동송읍 금학로217번길 1, 1층 "
660,해운대NC점,"부산광역시 해운대구 해운대로 813, 1층 138호(좌동, 지팝건축물) "
661,제주인제점,"제주특별자치도 제주시 고마로 133, 1층(일도이동) "
662,제주아라이도점,"제주특별자치도 제주시 승천로 57, 1~2층(아라이동) "
663,서귀포일호광장점,"제주특별자치도 서귀포시 서문로 5-2, 1층(서귀동) "
664,루원시티SK리더스뷰점,"인천광역시 서구 가정로 437, 304동 지2층 B260호(가정동, 루원시티 SK Leaders' VIEW) "
665,광주진월점,"전남 광주시 남구 서문대로 700, 광동빌딩 1층 104호 "
666,광주봉선점,"전남 광주시 남구 봉선2로 81, 가로수빌딩 101호 "
667,사천카이점,"경상남도 사천시 사남면 유처길 281, 상가동 1층 105호(사천흥한에르가아파트) "
668,고양화정점,"경기도 고양시 덕양구 화신로 264,1층 103호(화정동, 브릿지타워) "
669,상도역점,"서울특별시 동작구 양념로 272, 1층(상도1동) "
670,양재점,"서울특별시 서초구 남부순화로347길 13, 1층 102호(서초동, 동흥빌딩) "
671,목2동점,"서울특별시 양천구 목둥중앙북로 73, 1층 103호(목동, 덕수프라자) "
672,수유시장점,"서울특별시 강북구 도봉로67길, 1층 07호(수유동, 수유시장) "
673,중앙대후문점,"서울특별시 동작구 흑서로 25, 지하1층(상도동) "
